DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1900-9001-IND,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,IND,India,Southern Asia,Asia,Bengal,,,No,No,No,,,Km2,,,,1900,,,1900,,,1250000.0,,,,,,,,,,,2.73045093602311,,2006-12-01,2023-09-25
1905-0003-IND,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IND,India,Southern Asia,Asia,Kangra,,,No,No,No,,7.8,Moment Magnitude,32.04,76.16,,1905,4.0,4.0,1905,4.0,4.0,20000.0,,,,,,,,,25000.0,847777.0,2.94888701090496,,2003-07-01,2023-09-25
1907-0001-IND,Yes,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Bubonic,IND,India,Southern Asia,Asia,,,,No,No,No,,,,,,,1907,,,1907,,,1300000.0,,,,,,,,,,,3.05810504834589,,2003-07-01,2023-09-25
1916-0004-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Cuddalore, Pondicherry",,,No,No,No,,,Kph,,,,1916,11.0,21.0,1916,11.0,21.0,300.0,,,,,,,,,,,3.57671721615471,,2003-07-01,2023-09-25
1920-0001-IND,Yes,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Bubonic,IND,India,Southern Asia,Asia,,,,No,No,No,,,,,,,1920,,,1920,,,2000000.0,,,,,,,,,,,6.56278388285269,,2003-07-01,2023-09-25
1920-0002-IND,Yes,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Cholera,IND,India,Southern Asia,Asia,,,,No,No,No,,,,,,,1920,,,1920,,,500000.0,,,,,,,,,,,6.56278388285269,,2003-07-01,2023-09-25
1924-0001-IND,Yes,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Cholera,IND,India,Southern Asia,Asia,,,,No,No,No,,,,,,,1924,,,1924,,,300000.0,,,,,,,,,,,5.61118021983905,,2003-07-01,2023-09-25
1924-0003-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Punjab province,,,No,No,No,,,Kph,,,,1924,9.0,23.0,1924,9.0,23.0,1242.0,,1000000.0,,1000000.0,,,,,,,5.61118021983905,,2003-07-01,2023-09-25
1925-0004-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Bezwada, Masulipatam",,,No,No,No,,,Kph,,,,1925,5.0,10.0,1925,5.0,10.0,80.0,,,,,,,,,,,5.7424358974961,,2003-07-01,2023-09-25
1926-0001-IND,Yes,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Vaccinated,,,,1926,,,1926,,,423000.0,,,,,,,,,,,5.80806373632463,,2003-07-01,2023-09-25
